Feature,Importance
keep_alive_session,0.2575815027640004
customer_age,0.12075406057030551
has_other_cards,0.11855341060416415
housing_status_4,0.10362571486572683
housing_status_1,0.09848772385906591
housing_status_2,0.09036106290780693
phone_home_valid,0.03610543711782303
device_os_2,0.02276824289342742
device_distinct_emails_8w,0.017778346992099583
housing_status_3,0.01626463427505818
bank_months_count,0.014632014200407923
current_address_months_count,0.013015455224572084
income,0.009353765449769473
phone_mobile_valid,0.009050468821927563
proposed_credit_limit,0.008031259732636463
employment_status_1,0.007658935796037228
velocity_4w,0.005506475903046913
payment_type_3,0.005045266003724209
intended_balcon_amount,0.004948945122116145
velocity_6h,0.004918976158573607
payment_type_1,0.004444852621947036
payment_type_2,0.004387036316020925
name_email_similarity,0.004320416960919009
velocity_24h,0.0038556406675307503
device_os_1,0.00344325912455875
zip_count_4w,0.003261462329672862
days_since_request,0.0032286327939303376
credit_risk_score,0.0020838461108000717
bank_branch_count_8w,0.0016703376229403087
month,0.0011108863352653577
prev_address_months_count,0.0009133511648549951
date_of_birth_distinct_emails_4w,0.00083633677549495
session_length_in_minutes,0.0008126440818880621
device_os_3,0.0005142381818803918
email_is_free,0.00040546805089525424
employment_status_2,0.00026519522981005166
foreign_request,2.265423383373887e-06
device_os_4,1.1040554271197772e-06
employment_status_3,1.0666932558941048e-06
source_1,1.4597536073404245e-07
employment_status_5,1.1422187433560962e-07
payment_type_4,0.0
device_fraud_count,0.0
employment_status_6,0.0
employment_status_4,0.0
housing_status_6,0.0
housing_status_5,0.0
