Feature,Importance
keep_alive_session,0.14935915
has_other_cards,0.13272078
housing_status_4,0.10713561
device_os_2,0.089187846
housing_status_3,0.07497906
phone_home_valid,0.056748275
housing_status_1,0.047569074
housing_status_2,0.04507176
employment_status_1,0.040477224
customer_age,0.03533353
payment_type_3,0.033493817
payment_type_2,0.027062014
income,0.020683678
device_os_1,0.019651787
payment_type_1,0.018153807
phone_mobile_valid,0.016086843
employment_status_5,0.00925478
bank_months_count,0.008314289
intended_balcon_amount,0.008081033
device_distinct_emails_8w,0.0077850264
current_address_months_count,0.007643997
employment_status_3,0.007061863
employment_status_2,0.005602422
employment_status_4,0.004709473
proposed_credit_limit,0.0043587764
device_os_4,0.003874918
foreign_request,0.0035030718
name_email_similarity,0.0030337938
days_since_request,0.0020566161
device_os_3,0.0014395406
bank_branch_count_8w,0.001354838
housing_status_5,0.001267269
month,0.0011033458
credit_risk_score,0.00101556
velocity_4w,0.00092719705
date_of_birth_distinct_emails_4w,0.00075327203
prev_address_months_count,0.0005959018
email_is_free,0.00058800244
zip_count_4w,0.00047214818
session_length_in_minutes,0.00045767825
velocity_6h,0.00037413434
velocity_24h,0.00036968477
source_1,0.0002871564
payment_type_4,0.0
device_fraud_count,0.0
employment_status_6,0.0
housing_status_6,0.0
