Feature,Coefficient
keep_alive_session,-0.4685545055432128
month,-0.4444568319508843
phone_home_valid,-0.4187206770901919
device_os_2,-0.2957892210185831
payment_type_1,-0.2890325752707312
housing_status_2,-0.2867733274634979
housing_status_1,-0.2650640315163631
has_other_cards,-0.24873903402421288
phone_mobile_valid,-0.15496057131687266
housing_status_4,-0.1428637552439991
employment_status_1,-0.13222893499483962
payment_type_2,-0.129202248200332
name_email_similarity,-0.12332672455265499
payment_type_3,-0.10739733925590643
income,0.08812883846748124
email_is_free,-0.08581798662142154
employment_status_2,-0.05378674278091008
device_os_1,-0.05093166915003183
device_distinct_emails_8w,0.0462604665247778
employment_status_5,-0.04498439318126935
bank_months_count,0.04384713517433617
customer_age,0.037817570322773296
days_since_request,-0.029618763276374437
housing_status_3,-0.028429221885873282
intended_balcon_amount,-0.027777102901441454
employment_status_3,-0.026700800908250416
foreign_request,-0.023085098042718504
device_os_3,0.021568206862372968
employment_status_4,-0.020550907516934967
date_of_birth_distinct_emails_4w,-0.018171853084545973
credit_risk_score,0.010437094721380175
source_1,-0.008282423957218713
device_os_4,-0.007836088831075299
session_length_in_minutes,-0.005005005008097347
current_address_months_count,0.0018238379125355027
housing_status_5,-0.0017766155438643661
prev_address_months_count,-0.001246338988922123
employment_status_6,-0.000511446363913458
payment_type_4,-0.00029728091320522723
bank_branch_count_8w,-0.00029389755776532817
velocity_4w,-0.000265325475717016
housing_status_6,-0.0002350865202849572
zip_count_4w,0.00010597140475501582
velocity_6h,-4.851186552985358e-05
proposed_credit_limit,2.0900139741046794e-05
velocity_24h,9.204477930339041e-06
device_fraud_count,0.0
