Feature,Outliers,Percentage
fraud_bool,11029,1.1
income,0,0.0
name_email_similarity,0,0.0
prev_address_months_count,282958,28.3
current_address_months_count,41493,4.15
customer_age,1373,0.14
days_since_request,94834,9.48
intended_balcon_amount,222702,22.27
zip_count_4w,59871,5.99
velocity_6h,9005,0.9
velocity_24h,2917,0.29
velocity_4w,0,0.0
bank_branch_count_8w,175243,17.52
date_of_birth_distinct_emails_4w,9734,0.97
credit_risk_score,8729,0.87
email_is_free,0,0.0
phone_home_valid,0,0.0
phone_mobile_valid,110324,11.03
bank_months_count,0,0.0
has_other_cards,222988,22.3
proposed_credit_limit,241742,24.17
foreign_request,25242,2.52
session_length_in_minutes,79095,7.91
keep_alive_session,0,0.0
device_distinct_emails_8w,31574,3.16
device_fraud_count,0,0.0
month,0,0.0
payment_type_1,0,0.0
payment_type_2,0,0.0
payment_type_3,118837,11.88
payment_type_4,289,0.03
employment_status_1,138288,13.83
employment_status_2,37758,3.78
employment_status_3,26522,2.65
employment_status_4,22693,2.27
employment_status_5,44034,4.4
employment_status_6,453,0.05
housing_status_1,0,0.0
housing_status_2,0,0.0
housing_status_3,26161,2.62
housing_status_4,169135,16.91
housing_status_5,1669,0.17
housing_status_6,252,0.03
source_1,7048,0.7
device_os_1,53826,5.38
device_os_2,0,0.0
device_os_3,0,0.0
device_os_4,7228,0.72
