Feature,Importance
keep_alive_session,0.10160425068818789
housing_status_2,0.09840767336551862
phone_home_valid,0.09323658454748981
customer_age,0.09145325617400836
housing_status_1,0.08355469424048763
device_os_2,0.07542925710122036
has_other_cards,0.05994706014217417
housing_status_4,0.058660578146114944
current_address_months_count,0.05236785175055948
bank_months_count,0.03882900926516078
income,0.03020065430338784
employment_status_1,0.020025326441928913
device_distinct_emails_8w,0.01793901376481994
payment_type_1,0.01638141141615386
proposed_credit_limit,0.014579658969826503
payment_type_3,0.012076381889429224
name_email_similarity,0.011956320507086147
credit_risk_score,0.0115646151351798
phone_mobile_valid,0.01122118224155292
intended_balcon_amount,0.010781121617141275
date_of_birth_distinct_emails_4w,0.009588918636825115
days_since_request,0.008003391356625004
payment_type_2,0.007329614345644192
velocity_4w,0.007271701094175894
velocity_6h,0.006947042277401974
housing_status_3,0.006359593709333101
velocity_24h,0.0062456464623832425
device_os_1,0.005791322789598919
zip_count_4w,0.005782321917625249
bank_branch_count_8w,0.0054828644943733
prev_address_months_count,0.004087754453855509
session_length_in_minutes,0.0038960722274693697
month,0.00335842154088636
employment_status_5,0.00273623387961378
employment_status_2,0.0015544465079283705
employment_status_3,0.00154806835874812
device_os_3,0.0011686679327985068
email_is_free,0.001147146433896927
employment_status_4,0.0005649064481315437
foreign_request,0.00048173914349487187
device_os_4,0.0002337452728307694
source_1,0.00014200786526894545
housing_status_5,6.099665585658588e-05
housing_status_6,7.72004243300839e-07
employment_status_6,4.125157072800324e-07
payment_type_4,2.8996785537175455e-07
device_fraud_count,0.0
