,count,mean,std,min,25%,50%,75%,max
income,1582354.0,0.6241483091282779,0.2652324508565081,0.1,0.4022508442120283,0.7000000000000001,0.8644294479912374,0.9
name_email_similarity,1582354.0,0.4439232468231241,0.2716826884668418,1.4345504845275636e-06,0.19974354747752324,0.41502154015393605,0.6751522181935712,0.9999993177937188
prev_address_months_count,1582354.0,39.67939032652079,29.549773386474822,5.0,34.0,34.0,34.0,383.0
current_address_months_count,1582354.0,99.44201158753964,80.27405932965605,0.0,39.58922036371963,79.0,141.2778722187159,428.0
customer_age,1582354.0,37.07541043281086,11.964934444786367,10.0,30.0,39.0,46.0,90.0
days_since_request,1582354.0,1.0543681884200178,5.078646531624457,4.036859788721786e-09,0.0077404471459111245,0.0149516937939336,0.026840429939512748,78.45690383509861
intended_balcon_amount,1582354.0,6.245535083983368,17.35292869849501,-15.530554840076814,-1.148282848395924,-0.8460930517801363,-0.33690925320791765,112.9569276953714
zip_count_4w,1582354.0,1595.9193284182932,995.1265851344683,1.0,908.0,1286.0,1984.0,6700.0
velocity_6h,1582354.0,5422.364437977295,2967.3870877252525,-170.60307235124628,3173.848289565736,5092.1574190409865,7408.849284453227,16715.565404174275
velocity_24h,1582354.0,4694.00158777784,1451.294353306731,1320.2839909173258,3499.9688033756897,4710.0584581548155,5667.356188988588,9506.896596111665
velocity_4w,1582354.0,4805.019775597184,941.0695954972779,2825.748405284728,4234.337105303615,4873.472834658133,5439.672923047638,6994.764200834217
bank_branch_count_8w,1582354.0,151.94561520367756,428.0145222996251,0.0,1.0,7.0,18.0,2385.0
date_of_birth_distinct_emails_4w,1582354.0,8.251784998805578,4.717372006652138,0.0,5.0,7.0,11.0,39.0
credit_risk_score,1582354.0,153.8182168315577,75.66664170149333,-170.0,97.0,146.0,210.0,389.0
email_is_free,1582354.0,0.4841615719364946,0.4997492391494988,0.0,0.0,0.0,1.0,1.0
phone_home_valid,1582354.0,0.24407370285031035,0.42953678192542605,0.0,0.0,0.0,0.0,1.0
phone_mobile_valid,1582354.0,0.8065748877937554,0.39498346391853495,0.0,1.0,1.0,1.0,1.0
bank_months_count,1582354.0,15.707171770721478,8.92312040400287,1.0,10.0,15.0,22.70839315346461,32.0
has_other_cards,1582354.0,0.11636334221040298,0.3206602248191213,0.0,0.0,0.0,0.0,1.0
proposed_credit_limit,1582354.0,666.7213121729067,583.7861458689111,190.0,200.0,286.93705307899234,1457.7074694384025,2100.0
foreign_request,1582354.0,0.014117574196418754,0.11797574789404251,0.0,0.0,0.0,0.0,1.0
session_length_in_minutes,1582354.0,7.841414353121529,7.923910291122762,0.0008720274159186,3.4945402241114576,5.3673008250904495,8.936749900140148,85.89914319274027
keep_alive_session,1582354.0,0.35183403966495486,0.47754266020620034,0.0,0.0,0.0,1.0,1.0
device_distinct_emails_8w,1582354.0,1.0482885264269628,0.22253485957495922,0.0,1.0,1.0,1.0,2.0
device_fraud_count,1582354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,1582354.0,3.279972749460614,2.2073133950017936,0.0,1.0,3.0,5.0,7.0
payment_type_1,1582354.0,0.2622270364280054,0.43984558660704104,0.0,0.0,0.0,1.0,1.0
payment_type_2,1582354.0,0.21008130923927262,0.4073662450685466,0.0,0.0,0.0,0.0,1.0
payment_type_3,1582354.0,0.0674476128603334,0.2507956780523006,0.0,0.0,0.0,0.0,1.0
payment_type_4,1582354.0,0.00014598503242637236,0.01208154845379544,0.0,0.0,0.0,0.0,1.0
employment_status_1,1582354.0,0.07409277570000139,0.26192189607619243,0.0,0.0,0.0,0.0,1.0
employment_status_2,1582354.0,0.02304035632987309,0.15003170510061714,0.0,0.0,0.0,0.0,1.0
employment_status_3,1582354.0,0.013444526319647815,0.11516848272855135,0.0,0.0,0.0,0.0,1.0
employment_status_4,1582354.0,0.01144054996543125,0.10634693662391323,0.0,0.0,0.0,0.0,1.0
employment_status_5,1582354.0,0.022271881007663266,0.14756645311766914,0.0,0.0,0.0,0.0,1.0
employment_status_6,1582354.0,0.0002350927794918204,0.015330937982183695,0.0,0.0,0.0,0.0,1.0
housing_status_1,1582354.0,0.14385718998403643,0.3509449767539642,0.0,0.0,0.0,0.0,1.0
housing_status_2,1582354.0,0.21245309203882318,0.40904386251499825,0.0,0.0,0.0,0.0,1.0
housing_status_3,1582354.0,0.01341735161664204,0.11505361644830493,0.0,0.0,0.0,0.0,1.0
housing_status_4,1582354.0,0.08739321289673486,0.28241049845838073,0.0,0.0,0.0,0.0,1.0
housing_status_5,1582354.0,0.0008664306469980801,0.029422448776673608,0.0,0.0,0.0,0.0,1.0
housing_status_6,1582354.0,0.00012513002779403345,0.01118545704648388,0.0,0.0,0.0,0.0,1.0
source_1,1582354.0,0.003662265207406181,0.060405755743333844,0.0,0.0,0.0,0.0,1.0
device_os_1,1582354.0,0.029320872573393816,0.16870440714911394,0.0,0.0,0.0,0.0,1.0
device_os_2,1582354.0,0.1914363031281243,0.3934317511264837,0.0,0.0,0.0,0.0,1.0
device_os_3,1582354.0,0.3084682694264368,0.46186115986582355,0.0,0.0,0.0,1.0,1.0
device_os_4,1582354.0,0.0037071350658575766,0.060773304580012906,0.0,0.0,0.0,0.0,1.0
fraud_bool,1582354.0,0.5,0.5000001579925343,0.0,0.0,0.5,1.0,1.0
address_stability,1582354.0,139.1214019140604,81.75189845381378,6.0,79.705621096313,119.0,181.7920377670231,715.0
velocity_ratio,1582354.0,1.266317846382525,4.2661923349843,-4009.6369994253246,0.6555767492910146,0.8448169585722366,1.3122685660217734,1951.4483421522611
phone_verification_score,1582354.0,1.0506485906440657,0.5538136663498461,0.0,1.0,1.0,1.0,2.0
bank_relationship,1582354.0,17.380530373101326,11.487409519545421,1.0,10.000454388890635,15.0,25.0,64.0
customer_trust_score,1582354.0,68.50226471387117,57.836449243128655,-165.9222142563811,24.102168700525233,51.909580858398044,98.4354847244467,356.59184958972804
transaction_velocity_score,1582354.0,14921.38580135232,4442.993154215802,4908.500283898523,11549.533957599066,14540.963073780009,17952.73898327902,30798.014172174684
digital_footprint,1582354.0,1.884284138028412,0.7198209430556031,0.0,1.0,2.0,2.0,4.0
