Feature,Importance
housing_status_4,1.2965726803105142
payment_type_3,1.171873121643002
has_other_cards,1.11524063789354
housing_status_3,1.0012055340423003
housing_status_2,0.9765401749074288
housing_status_1,0.9296717751048507
payment_type_1,0.8649429167542841
device_os_1,0.8363981293963689
employment_status_1,0.8072782360616179
payment_type_2,0.7805918753936891
device_os_2,0.732712721284351
phone_home_valid,0.7006664620827748
employment_status_2,0.5793417498472705
keep_alive_session,0.5497362209693819
employment_status_5,0.5218418527005333
employment_status_3,0.4577662521409916
foreign_request,0.44743025016393145
device_distinct_emails_8w,0.40672528103014954
income,0.37045943940039594
phone_mobile_valid,0.356162531521603
employment_status_4,0.32580573868934837
name_email_similarity,0.3046882876172261
device_os_4,0.29067763107057776
device_os_3,0.168149530384145
source_1,0.11711168448567653
housing_status_5,0.1120608715688956
email_is_free,0.06454384359975711
housing_status_6,0.017643685649242288
payment_type_4,0.01708273893925205
employment_status_6,0.016791425368438778
intended_balcon_amount,0.014412321555987326
date_of_birth_distinct_emails_4w,0.012325227473398464
month,0.011641609842450265
customer_age,0.006617299946505781
bank_months_count,0.005099092895733618
session_length_in_minutes,0.001755256210108852
credit_risk_score,0.001181026855471214
prev_address_months_count,0.0011304373243985083
days_since_request,0.0006605368629414959
velocity_4w,5.905507825179817e-05
zip_count_4w,4.947952544016949e-05
proposed_credit_limit,3.6145265065812514e-05
bank_branch_count_8w,2.6013193799782195e-05
velocity_24h,1.0867566375357517e-05
current_address_months_count,9.191899896705832e-06
velocity_6h,1.6534731718815782e-06
device_fraud_count,0.0
